									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
50	25	05	08	13	17	22	09		-152	-115	-72	-85	-61	-50	-116	-79	-62	-76	-95	-57	-80	-23	-24	-54	-74	994	1280		47	67	62	6	65	70	86	-4	37	103	91	55	60	32	9	57	134	-1456	-1984		159	133	95	85	89	86	144	79	72	128	132	79	100	39	26	79	153	1763	2361		287,20	300,20	310,70	274,00	316,80	324,50	306,60	267,10	300,80	323,60	313,80	314,00	306,90	324,30	290,60	316,50	331,10	145,70	147,20		57,68955616	11,38323194	57,67288221	11,40080594
51	25	05	08	13	22	22	00		-102	-93	-72	-96	-73	-48	-94	-22	-49	-58	-52	-77	-47	-63	-75	-59	247	1463	609		43	37	43	48	49	28	73	-42	57	81	78	76	63	17	69	89	-402	-2594	-988		111	100	84	107	88	56	119	47	75	100	94	108	79	65	102	107	472	2978	1161		292,90	291,70	300,80	296,60	303,90	300,30	307,80	207,60	319,30	324,40	326,30	314,60	323,30	285,10	312,60	326,50	148,40	150,60	148,40		57,67283703	11,40085355	57,66041664	11,41398330
52	25	05	08	13	27	21	07		-45	-75	-47	-35	-32	-49	-20	-45	7	43	23	28	-2	-9	-61	-64	779	868			79	121	72	89	68	76	121	136	88	66	78	74	62	103	156	69	-1759	-1609			91	142	86	96	75	90	123	143	88	79	81	79	62	103	168	94	1924	1828			330,30	328,20	326,90	338,50	334,80	327,20	350,60	341,70	4,50	33,10	16,40	20,70	358,20	355,00	338,60	317,20	156,10	151,70			57,66036669	11,41403334	57,64603330	11,42908330
53	25	05	08	13	32	25	04		-83	-85	-56	-28	-77	-66	18	63	27	12	-11	18	30	-8	-15	207	1224	520			147	113	89	56	79	94	57	29	33	69	79	54	92	117	144	-359	-2454	-980			169	141	105	63	110	115	60	69	43	70	80	57	97	117	145	414	2742	1109			330,50	323,00	327,80	333,40	315,70	324,90	17,50	65,30	39,30	9,90	352,10	18,40	18,10	356,10	354,10	150,00	153,50	152,00			57,64598334	11,42913334	57,63583202	11,43975380
54	25	05	08	13	37	24	02		-70	-73	-73	-91	-60	-87	-48	-2	-31	-25	-39	10	53	16	182	438	373				100	69	113	101	84	78	63	-21	-8	37	54	65	52	1	-269	-1108	-769				122	100	135	136	103	117	79	21	32	45	67	66	74	16	325	1191	855				325,00	313,40	327,10	318,00	324,50	311,90	322,70	185,40	255,50	326,00	324,20	8,70	45,50	86,40	145,90	158,40	154,10				57,63541670	11,44019997	57,62241586	11,45384822
55	25	05	08	13	42	21	08		-150	-152	-153	-133	-116	-130	-114	-63	-114	-50	-46	-42	-53	13	274	380					134	140	99	145	108	81	50	-19	32	20	21	-34	-33	-86	-991	-849					201	207	182	197	158	153	124	66	118	54	51	54	62	87	1028	930					311,80	312,60	302,90	317,50	313,00	301,90	293,70	253,20	285,70	291,80	294,50	231,00	238,10	171,40	164,50	155,90					57,62246012	11,45380128	57,60938091	11,46793032
56	25	05	08	13	47	23	04		-186	-161	-114	-117	-56	-38	-80	-83	-69	-23	-43	-16	21	10	193	463					171	137	161	158	125	109	125	-3	58	26	23	14	-5	10	-291	-836					253	211	197	197	137	115	148	83	90	35	49	21	22	14	349	956					312,60	310,40	324,70	323,50	335,90	340,80	327,40	267,90	310,00	318,50	298,10	311,20	103,40	45,00	146,40	151,00					57,60924798	11,46807684	57,59575638	11,48309511
57	25	05	08	13	52	24	07		-47	-58	-47	-25	-13	-6	-17	-38	1	1	6	31	9	208	389						138	155	128	107	106	60	93	110	78	77	-21	8	-23	-323	-716						146	165	136	110	107	60	95	116	78	77	22	32	25	384	815						341,20	339,50	339,80	346,80	353,00	354,30	349,60	340,90	0,70	0,70	164,10	75,50	158,60	147,20	151,50						57,59566778	11,48319653	57,57899970	11,50209705
58	25	05	08	13	57	24	09		-1	-37	-37	-25	-59	-28	-3	-14	2	-14	-4	44	161	1388							63	80	83	122	149	134	108	123	120	99	70	-14	-116	-1771							63	88	91	125	160	137	108	124	120	100	70	46	198	2250							359,10	335,20	336,00	348,40	338,40	348,20	358,40	353,50	1,00	352,00	356,70	107,70	125,80	141,90							57,57895427	11,50214919	57,56896790	11,51346275
59	25	05	08	14	02	24	06		-20	-17	-75	-57	-80	-170	-127	-129	-51	-72	-34	-23	393	400							23	-21	-1	10	6	36	95	97	6	-2	-13	34	-643	-571							30	27	75	58	80	174	159	161	51	72	36	41	754	697							319,00	219,00	269,20	280,00	274,30	282,00	306,80	306,90	276,70	268,40	249,10	325,90	148,60	145,00							57,56883010	11,51361396	57,55909997	11,52248335
60	25	05	08	14	07	22	09		26	2	9	-66	-99	-53	-23	-66	-54	-28	-8	6	34	29							80	15	81	96	98	172	224	127	101	108	76	61	-13	-61							84	15	81	116	139	180	225	143	115	112	76	61	36	68							18,00	7,60	6,30	325,50	314,70	342,90	354,10	332,50	331,90	345,50	354,00	5,60	110,90	154,60							57,55908136	11,52267094	57,55898547	11,52337560
61	25	05	08	14	12	24	08		22	39	14	3	-45	-27	-13	10	9	-23	23	31	-19	8							16	52	100	135	126	140	218	152	103	92	91	52	41	-42							27	65	101	135	134	143	218	152	103	95	94	61	45	43							54,00	36,90	8,00	1,30	340,30	349,10	356,60	3,80	5,00	346,00	14,20	30,80	335,10	169,20							57,55898614	11,52337711	57,55908337	11,52323336
62	25	05	08	14	17	22	06		-4	-37	-13	-9	-97	-58	-51	-23	-43	1	0	7	-77	-123							54	27	59	88	97	143	194	145	87	113	54	28	-31	-95							54	46	60	88	137	154	201	147	97	113	54	29	83	155							355,80	306,10	347,60	354,20	315,00	337,90	345,30	351,00	333,70	0,50	0,00	14,00	248,10	232,30							57,55899981	11,52331081	57,55868331	11,52321668
63	25	05	08	14	22	23	00		45	43	30	-25	-30	-19	-50	-15	-12	1	-15	-8	-285	-691							46	-1	32	72	139	173	175	163	127	115	91	73	388	1083							64	43	44	76	142	174	182	164	128	115	92	73	481	1285							44,40	91,30	43,20	340,90	347,80	353,70	344,10	354,70	354,60	0,50	350,60	353,70	323,70	327,50							57,55894382	11,52164231	57,56995588	11,51563928
64	25	05	08	14	27	22	04		24	7	-14	-7	-13	-31	-17	-23	2	-19	5	57	52	-768	-614						82	106	98	140	129	173	174	159	120	147	163	100	-32	1542	1472						85	106	99	140	130	176	175	161	120	148	163	115	61	1723	1595						16,30	3,80	351,90	357,10	354,20	349,80	354,40	351,80	1,00	352,60	1,80	29,70	121,60	333,50	337,40						57,57010130	11,51555101	57,58096668	11,51063335
65	25	05	08	14	32	23	03		-137	-97	-62	-21	22	13	26	6	25	39	33	5	-22	-201	-434						198	112	144	162	146	117	105	171	144	85	123	135	259	733	1689						241	148	157	163	148	118	108	171	146	94	127	135	260	760	1744						325,30	319,10	336,70	352,60	8,60	6,30	13,90	2,00	9,80	24,60	15,00	2,10	355,10	344,70	345,60						57,58135434	11,51062313	57,60088468	11,51205861
66	25	05	08	14	37	25	01		-83	-65	-72	-92	-62	-73	-23	-56	-33	-1	-22	159	305	280							111	114	91	130	150	160	136	95	47	80	339	943	1047	1081							139	131	116	159	162	176	138	110	57	80	340	956	1091	1117							323,20	330,30	321,60	324,70	337,50	335,50	350,40	329,50	324,90	359,30	356,30	9,60	16,20	14,50							57,60093698	11,51207026	57,61460862	11,52224137
67	25	05	08	14	42	23	00		-23	-21	-6	-14	-66	-59	-31	26	-7	215	912										21	104	65	58	96	94	139	138	104	498	1642										31	106	65	60	116	111	142	140	104	542	1878										312,40	348,60	354,70	346,40	325,50	327,90	347,40	10,70	356,10	23,40	29,00										57,61495932	11,52267136	57,62478333	11,53466024
68	25	05	08	14	47	24	07		10	-45	-9	27	-63	-52	-56	29	1348	566											147	61	101	120	103	53	50	83	1781	656											147	76	101	123	121	74	75	88	2234	866											3,90	323,60	354,90	12,70	328,50	315,50	311,80	19,30	37,10	40,80											57,62531290	11,53529425	57,63683919	11,55313572
69	25	05	08	14	52	23	04		20	-13	2	88	707	1053															29	8	26	-58	85	359															35	15	26	105	712	1113															34,60	301,60	4,40	123,40	83,10	71,20															57,63680734	11,55306129	57,64070467	11,57925675
70	25	05	08	14	57	23	00		72	503	461	1123																	-62	-107	-310	-116																	95	514	556	1129																	130,70	102,00	123,90	95,90																	57,64033335	11,58300002	57,63748107	11,61482234
71	25	05	08	15	02	22	01		-127	-3	330	906																	22	46	12	-93																	129	46	330	911																	279,80	356,30	87,90	95,90																	57,63793336	11,60878334	57,63752357	11,63676021
72	25	05	08	15	07	22	00		-113	-68	-3	490	841																23	-8	-3	-1	291																115	68	4	490	890																281,50	263,30	225,00	90,10	70,90																57,63752743	11,63695483	57,63835003	11,65031668
